购买车型,购买地点,购买经销商,购买时间,购买裸车价,空间,动力,操控,能耗,舒适性,外观,内饰,性价比,购车目的1,购车目的2,购车目的3,购车目的4,口碑
秦                        2016款 秦EV300 尊贵型,恩施 ?,2016年3月,15.95?万元                                补贴后,14.3?千瓦时/百公里4931?公里,4,5,5,4,5,5,5,5,上下班,购物,自驾游,,【最满意的一点】感觉很值啊。车的配置非常齐全、马力充足，外观大气漂亮，非常适合我。【最不满意的一点】就是很多朋友都会提到的后备箱空间问题了，呵呵，确实小了。【空间】秦的后备箱空间是我目前唯一不太满意的，毕竟有电池组在那，放不了太多东西。买之前也知道大小，但是实际用起来的时候就觉得不太够用了。我平时喜欢和老婆孩子自驾游出去玩，后备箱放个大箱子也就差不多了，有点不方便吧。【动力】动力非常棒，无可挑剔。虽然是电动的但是这个动力，起步的时候一点也不肉，想加速的时候能感觉到充足的动力，而且噪音很小。虽然现在年纪大了，但有时候还是想享受一下飙车的快感，这点秦让我一点也不担心。【操控】操控起来容易，不过指向性一般般。真皮的方向盘，手感不错。【耗电量】耗电量还可以，而且用电比用油省钱实惠，我很满...
秦                        2016款 秦EV300 豪华型,重庆 ?,2016年3月,25.38?万元,14.3?千瓦时/百公里4392?公里,5,5,5,5,5,4,5,5,上下班,购物,接送小孩,,【最满意的一点】动力非常完美，而且纯电动模式驾车非常安静，心情豁然开朗。【最不满意的一点】有些电动车细节方面还有待改进。【空间】我身高一米七几，驾驶室感觉空间还是比较充裕的，后排如果不是特别高的或者身材特别魁梧的人一般坐着空间还是挺够用的。【动力】动力非常强势。应该很多车友都是冲着这辆车的动力去的。直线加速非常给力，玩到也还可以。在无声中加速，完美的驾车体验。很容易就会飙起来的。【操控】方向盘的转向比较精准，而且操控的手感比较轻盈，适合温柔驾车的车友，喜欢重的操控感觉的朋友可能会不适应的。我属于前者，开起来转向不费多少力气，很舒服。【耗电量】小县城里跑跑完全足够，纯电保守60多。跑高速什么的还是切换模式比较合理。【舒适性】隔音效果非常得好，不会听到自己发动机的轰鸣声，别人的声音...
秦                        2016款 秦EV300 尊贵型,长春 ?,2016年4月,15.68?万元                                补贴后,14.2?千瓦时/百公里3649?公里,5,5,5,5,4,5,4,5,上下班,购物,,,【最满意的一点】车子的这个动力性能非常的好，密封隔音效果也非常好，安全系数做的也很到位。【最不满意的一点】车子的悬挂有点硬，是不是我自己的感觉我不知道，反正有点颠簸感。【空间】空间对很多人来说是足够的，而且有着非常大气的座椅和合理的空间，不去看这个后尾箱的话，这个也是我们都比较看好的，坐着感觉不到被憋屈，这点就很可以的，我们要的就是享受。【动力】动力性能的话这个电动性能还是比较好的，从这个提速起步到超车，一点问题也没有，就烦动不动就熄火的车，太悲催了，比亚迪这点做的很好。【操控】操控性能非常的好，电动车的这个舒适性还有带有这个电动助力的方向盘的性能都比较好，而且车子的路感也很好，转弯和变道的灵活性也很不错。【电耗】我喜欢省钱的车，哈哈，所以一步到位买了比亚迪秦，它的性能科技优势太...
秦                        2016款 秦EV300 豪华型,潜江 ?,2016年4月,25.18?万元,13.2?千瓦时/百公里3677?公里,5,5,5,5,5,5,4,5,上下班,购物,接送小孩,,【最满意的一点】虽然很多新能源电动车，但是还是比亚迪的原创性让人喜欢看，从外形到发动机还有蓄电都是科技很强的。【最不满意的一点】后备箱不是很大吧感觉【空间】空间前排是没有问题的，足够我伸腿抬头和伸腰的，座椅的设计非常的大气厚重，座椅和座椅之间的距离也足够科学和合理，如果给孩子安装一下宝宝安全座椅的话这个空间也很够大的，唯一感觉有点不足的也就是它的这个后后备箱稍微有点不够宽大。【动力】如果说纯电动的这个动力怎样的话，我感觉超过我原来对这个电动车的认识，没想到可以这样的强悍，走什么道路都没有问题，杠杠的蹭蹭的上速度，还不卡。【操控】还是非常喜欢车子的这个轻松的操控感的，方向盘非常的轻便好用，车子很大气不笨重，很轻松就可以上速度了，它的这个底盘做的也不错开起来很舒服。【电耗】我们都知道...
秦                        2016款 秦EV300 尊荣型,赣州 ?,2016年4月,17.95?万元                                补贴后,15.2?千瓦时/百公里4619?公里,4,5,5,5,5,5,5,5,上下班,购物,接送小孩,自驾游,【最满意的一点】车子的这个动力性能还有强悍的配置都非常的好，而且提速和安静的冲击力都非常好，再就是它的安全系数也比较高。【最不满意的一点】我是胖纸对空间要求高，前排无碍，后排有点差强人意。【空间】空间大小有的人说够用，有的人说太小，我也是为媳妇买的车，一般我出门开的话，这个前排也算可以的，没有感觉很不舒服。【动力】动力方面电动发动机的性能真的超过了汽油车，起步起来这个速度就赶上去了，一点停顿都没有的，而且非常给力，性能优势非常好。【操控】车子的这个操控感觉非常的好，尤其是这个电机发动起来，这个驾驶感觉是非常舒服的，不刺激很平稳安静，当然还有极高的配置，比如这个方向盘就用着非常的舒服和顺手，底盘等方面做的也很好，对于它的操控很满意的。【电耗】非常喜欢它的这个耗能，在我们看来，这个耗...
秦                        2016款 秦EV300 尊贵型,定西 ?,2016年2月,26.86?万元,16.6?千瓦时/百公里5169?公里,5,5,4,5,5,5,5,5,上下班,自驾游,,,【最满意的一点】性能还是比较突出的，各方面的优势很明显，比较喜欢它充足的动力性能，而且比较的省电省钱【最不满意的一点】从开始到现在还没有飙过高速，他们说高速会感觉车子有点飘……具体还没有去尝试一下【空间】空间很是紧凑和合理的，别看车子空间不大，但是布局很大气，有着这个性价比上最舒适和科学的空间布局，座椅设计很大气也有自己的厚重舒适性，前后排座椅的空间都能满足我们需要。【动力】动力真的超过我的想象了，为什么会这样的爽呢，一点也没有卡的感觉，冲上去的速度太顺畅了，超过很多汽油车的性能。【操控】操控性能绝对是良好的，不管是平时在市区开还是走高速，它的这个操控很平稳舒适的，而且方向盘的手感很好，底盘做的很厚重科学的。【电耗】选择了比亚迪秦，就是让自己可以省钱到家的，从它的续航能力到现在的...
秦                        2016款 秦EV300 尊贵型,济南 ?,2016年2月,26.86?万元,16.1?千瓦时/百公里5699?公里,5,5,5,5,4,5,5,5,上下班,自驾游,,,【最满意的一点】超级喜欢秦的这个电动发动机的性能，而且续航能力非常良好，能跑比较省钱【最不满意的一点】感觉车子太高速的时候，多少能感觉到车子的整体有震动感，有点不好操控的感觉【空间】空间还是比较的满意的，一般买秦这类型车的都是作为家用车来玩的，如果是三口之家的话是妥妥的没有问题的，而且它的座椅设计不仅仅只是好看，厚重而科技的原创性比较好，空间的合理性也很可以。【动力】很喜欢秦现在的动力性能，丝滑的动力上来了一点也不输于任何汽油车，稳妥妥的起步和上速度，油门性能和刹车性能都超过原来对于比亚迪秦的认知，绝对是上这个速度杠杠的。【操控】车子现在的操控还是比较好的，车子自身很大气，尺寸也足够，比较的容易操控，在有助力性能的方向盘的作用下，起步过弯变道都很灵便，底盘的优势也很好，减震性能也不...
秦                        2016款 秦EV300 尊贵型,长沙 ?,2016年3月,26.89?万元,16.3?千瓦时/百公里5816?公里,5,5,4,5,5,5,5,5,上下班,自驾游,,,【最满意的一点】满意的还是这车的性能优势，黑科技的东西很多的，动力非常的强劲有力，车子比较其他多了很多创新和原创性的【最不满意的一点】车子性能不错，就是有时候它的科技性能会有点不知道怎样操控的无力感【空间】空间比较满意，尤其是它的前排比较优势明显，多大的体型的人也可以很容易操控的，而且是腿部比较宽松随意的，后排座椅也能满足家用，后备箱的大小对于我天天上下班来说，基本没有太多要求的够用就好。【动力】车子的这个动力性能很满意，不管是开快车还是喜欢平稳驾驶的人都会找到感觉，从起步到上速度绝对是没有问题的。【操控】操控性能很好，从这个带有助力转向的方向盘到底盘都做的很好，档位也很清晰灵敏，其他操控上还没有发现不好的地方。【电耗】它的这个耗电量还是很不错的，续航超给力的，一般我在市区的话，...
秦                        2016款 秦EV300 尊荣型,鹤壁 ?,2016年3月,28.85?万元,17.6?千瓦时/百公里4691?公里,5,5,5,5,4,5,5,5,上下班,自驾游,,,【最满意的一点】车子的动力性能比较的强，外观比较的抢眼，舒适性能也很好，再就是新能源的性能优势很明显【最不满意的一点】感觉它的这个后排座椅不如前排，上次我坐了一下它的后排真的不算是满意。【空间】空间大小正好合适，我喜欢它座椅的全真皮的包裹性，我这样的体型坐着也没有拘束感，前后排座椅的空间很好，储物格和小空格等细节上的设计也很实用的，一般能用的东西都可以很好的放进去。【动力】很好的动力性能，一般充满电之后它的这个动力是特别的充沛有力的，尤其是驾驶感觉很非常棒，充满了活力和激情的，起步的时候怠速也很稳的，转速明显提高很快的。【操控】操控性能不错，因为是纯电动性能，相对来说真的非常的舒服，而且性能稳定，方向盘的感觉超级棒，纯真皮多功能方向盘太给力了，一只手就可以很好的掌握的。【电耗】现...
秦                        2016款 秦EV300 尊荣型,武汉 ?,2016年2月,28.58?万元,15.6?千瓦时/百公里5499?公里,5,5,5,5,4,5,5,5,上下班,购物,自驾游,,【最满意的一点】动力安全操控性能都不错，没有想到能买到性能这样好的电动车，省钱省心才是关键的。【最不满意的一点】舒适性能不算很好，也许我感觉它的底盘调教硬的关系【空间】空间比较舒适大气，家里人也不多这个空间足够大了，腿部空间和腰部头部都很舒适的，和秦同级别的车我对比了很多款，怎么看也感觉这车是最符合我的需要的，所以就选择了它。【动力】动力不错不错，因为有着特有的电动车的动力性能，所以它没有汽油车的起步弱后续不给力的现象，踩油门车子就速度杠杠的，开起来毫不费力，我喜欢它超给力的运动模式，那也省电也速度性能好操控。【操控】车子的操控性能很好，有着舒适大气的方向盘和档位，尤其是底盘和悬挂都很大气，减震效果也很好，而且它的方向盘还有助力转向设计，很轻松就可以玩的很嗨的。【电耗】它的耗电量...
秦                        2016款 秦EV300 尊贵型,邯郸 ?,2016年2月,26.58?万元,13.5?千瓦时/百公里4957?公里,5,5,4,5,5,5,5,5,上下班,购物,自驾游,,【最满意的一点】最满意的就是这辆车的动力，非常强劲，起步很快，灯一变第一个就能冲出去，很不错【最不满意的一点】车子自重有点轻，开起来偶尔觉得会不稳【空间】空间中规中矩，前排比较宽敞，开车没有问题。但是我觉得后备箱空间较小，整体空间被电池组占据了很多，东西多的朋友要注意一下，不过我平时不怎么在车里放东西，所以其实无所谓，平时也是够用的。【动力】起步很快，很满意这一点，我这种急脾气开这个车都觉得很舒服。动力毋庸置疑确实是优点。【操控】操控比较好，非常灵敏，方向盘助力非常灵活，基本做到指哪走哪，唯一一点就是回中力有点弱了【耗电量】市区交通状况不太好的时候感觉有点费电，其他时候倒没什么，正常水平，我觉得价钱上和汽油车比起来应该像差不多，买电动车主要还是体制问题【舒适性】总体来说秦的舒适...
秦                        2016款 秦EV300 尊荣型,鄂州 ?,2016年2月,28.38?万元,16.5?千瓦时/百公里4917?公里,4,5,5,5,5,5,5,5,上下班,购物,自驾游,,【最满意的一点】比较满意的就是这辆车的外观和动力。外观我是真的比较喜欢，很对我胃口，动力就是确实很充沛，发动机非常给力，完全不比我之前开的汽油车差，整体很让人满意【最不满意的一点】不太满意的到说不上，空间整体可以，但是如果高度可以再高一点会更舒服【空间】空间确实比较大，我身高是182，家里人也普遍高瘦，所以小车对于我们家来说是真的没法开，后来在车展上看到了这辆比亚迪秦，感觉确实很不错，主驾驶我坐进去一点问题都没有，腿部空间足够，头部一般，但家里人也都觉得可以，至少不觉得憋屈，没什么问题【动力】动力非常好，完全不用担心动力比不上汽油车这个问题，绝对是有过之而无不及。起步很给力，提速也不在话下，到100之前表现都非常优秀，很顺畅，一点都不拖沓，非常满意。不知道是所有的电动车动力都这样还是...
秦                        2016款 秦EV300 尊贵型,商洛 ?,2016年1月,26.68?万元,15.2?千瓦时/百公里5649?公里,4,5,5,5,5,5,5,5,自驾游,拉货,,,【最满意的一点】车子的动力性能很不错，还有很多的性能配置都很全面，续航能力很不错，空间也很舒适【最不满意的一点】很多地方设计的不算是满意的，尤其是后备箱比我想的要小，而且很多地方不够细致，有点粗糙感。【空间】别看它是一款很紧凑的车型，但是这个空间很合理不会感觉憋屈难受的，座椅设计不错很大气的，再就是它的空间上的储物格设计很人性化的，后备箱大小也能满足一般家用了。【动力】动力性能很好，尤其是这个运动模式上的动力性能太给力了，起步上速度都很好，在拥堵路上它的优势很明显。【操控】操控性能不错，方向盘的质感很舒服，一把就可以轻松操作，我喜欢这样的轻松上手的感觉，车子跑起来也不飘。【电耗】耗电性能很好，续航能力也可以的，在短途用车上，它的优势真的很明显的。【舒适性】舒适性不错，大气的舒服...
秦                        2016款 秦EV300 尊荣型,淮北 ?,2016年2月,28.59?万元,14.6?千瓦时/百公里4519?公里,4,5,5,5,5,5,5,5,上下班,购物,自驾游,,【最满意的一点】车子的各方面都很不错，尤其是动力和操控，感觉比汽油车省钱省心也好开【最不满意的一点】车子的空间优势不是很明显的，能满足一家三口出行的需要【空间】空间一般，和同级车相比虽然也有很大的优势，前排座椅很好，后排的话，坐满了三个人就感觉有点不愉快了。【动力】动力性能不错，发动机比纯汽油的好多了，能很好的冲击和上速度，起步也没有其他车的弱爆的感觉，踩一下油门这个动力就蹭蹭的上了，一般路况一点问题也没有的，而它的续航能力也不错。【操控】操控性能不错，混动版的秦很大气的，一般车都没有它的这个操控性能好，很沉稳，很轻松，方向盘带有转向助力这点不错。【电耗】喜欢这样节能省钱的车，耗电量也是我们都很喜欢的，别的不说，比汽油车省钱太多了，想上速度就速度，一般情况下平稳的开起来，感觉更加...
秦                        2016款 秦EV300 旗舰型,商丘 ?,2016年3月,30.55?万元,13.5?千瓦时/百公里3106?公里,4,5,5,5,5,5,5,5,上下班,购物,,,【最满意的一点】安静，没有发动机的噪音，跑起来很舒服；内饰很高档，看着就不一般，好几个朋友都说我这内饰精致。【最不满意的一点】后备箱小，虽然平时够用，但是出游的时候东西多就有点麻烦，希望空间能够有所改善。【空间】空间够用，富余的不多，5口之家刚合适，不会太挤但也不是特别宽敞，2670的轴距还是5座车的正常空间标准，450的行李箱容积看起来很大，但因为设计问题所以只能装两个大箱子，不过平时也够用了。【动力】电动机够给力了，最大218马，跑起来很有劲儿，完全不会出现动力不足的情况。【操控】纯电动的车操控起来很简单，固定齿比变速也很给力，加上悬架调教得当，转弯完全不费力，是操控上男女都适用的一款车。【电耗】充一次电续航的里程在75公里左右，大概一毛多一公里的样子，这点我是比较满意的，感...
秦                        2016款 秦EV300 尊荣型,江门 ?,2016年2月,28.68?万元,15.6?千瓦时/百公里2896?公里,4,5,5,5,5,5,5,5,上下班,自驾游,,,【最满意的一点】它的动力性能超满意的，感觉比其他车都突出，提速很明显也上速度蹭蹭的，感觉开起来很轻松的，而它的外观也很大气霸气的，内饰上的设计和安全等功能设计也可以满分。【最不满意的一点】空间设计上后备箱有点小啦，其实这个作为家用车的话也够。【空间】很多人都说这车的空间很大，我这样的高个子也感觉没有压力的，因为它的座椅设计的真的很科学的，再就是座椅和座椅之间的距离也很不错，支撑干谒很好的，后备箱的大小也算满足我家需要，他们说小就小吧。【动力】这车的动力是很给力的，电动车的输出性也很好，有一种淋漓尽致的冲击感，加速的话也很持续给力的，而且它还不需要换挡只要踩油门就可以上速度的，切换也很顺利，一脚油门就超出去了。【操控】作为这样的一款车，它的操控感还是很沉稳大气的，舒适性也稳定性都很好...
秦                        2016款 秦EV300 尊荣型,潜江 ?,2016年2月,28.68?万元,14.6?千瓦时/百公里3797?公里,4,5,5,5,5,5,5,5,上下班,自驾游,,,【最满意的一点】新能源汽车的翘楚，就是说的秦了，很多性能和配置上都完超其他车型，而且它的性价比是其他车无法做到的，大空间高性能安全系数高等等都很好的。【最不满意的一点】空间的话不错，后备箱的不完美都明白的。【空间】买车我们都要想着买大空间高舒适性的车，秦作为一款新能源新型车，它的空间设计上是没有问题的，唯一感觉不舒服的就是后备箱不是很大气，很多车友也反应这个问题，没办法，它因为有电机等配置只能这样设计，还好一般的东西也算是可以装载的。【动力】动力很赞很足的，电动车的动力绝对没有其他车那样的起步慢升速度面的毛病，只要你用脚狠踩油门，这个动力就很速度上去了，杠杠的这个性能和速度太刺激人了，尤其是超车的时候，哈哈，我感觉自己的秦真的霸气。【操控】操控性不错的，因为秦的空间布局合理，方向盘...
秦                        2016款 秦EV300 豪华型,揭阳 ?,2016年3月,25.68?万元,13.1?千瓦时/百公里3127?公里,5,5,5,5,5,5,4,5,上下班,自驾游,,,【最满意的一点】现在的电动车已经算是很流行了，而比亚迪唐是真的非常的好看，多功能设计上也够上档次的，动力很足在市区开是完全没有问题的，而它的安全系数也很好，买了车不后悔的。【最不满意的一点】后备箱有点小，其他都很好了。【空间】它的空间真的够大的，作为日常用的话，这车是很足够的，前排座椅和后排座椅设计都很好的，而且空间是利用率很好的，后备箱大小也算是能接受的，总体感觉不错。【动力】纯电动是很不错的，而且比我们想象中要充沛的多，起步也很速度的，就是走高速也不会有无法超车的憋屈感。【操控】操控感是非常的好的，基本是很满意的，而且它的方向盘档位都很棒，开起来很顺手很方便的，底盘调教也很好。【电耗】说它经济适用，环保大气，用电真的很省，虽然在市区拥堵路线行驶也比其他车省钱不少的。【舒适性...
秦                        2016款 秦EV300 尊荣型,漯河 ?,2016年1月,28.88?万元,17.5?千瓦时/百公里3496?公里,4,5,5,5,5,5,5,5,上下班,购物,,,【最满意的一点】最满意的就是这辆车的动力，开起来很爽，动力充沛，随时想走就走【最不满意的一点】空间一般偏小【空间】空间一般般，说不上有优势，只能说够用【动力】非常好。这是我这辆车最满意的一点，也是我决定要买下它的最重要的原因【操控】比较顺手，没有什么特别适应不了的，试驾的时候就感觉都还挺不错的，回来开了一段时间也没发现什么问题【耗电量】耗电量不错，我对电动车消耗电量这个问题没什么太大概念，也没有具体的计算过用油和用电到底能差多少钱。我平时出门机会多，基本上为了保险是一天充一次电，够用，也没有感觉花在车上的开销变化了很多【舒适性】挺舒服的，座椅不错，空间再大点就好了【外观】好看，很有特点，非常有比亚迪自己的风格【内饰】内饰设计的可以，屏幕不大不小，刚刚好，操作起来也还算方便...
秦                        2016款 秦EV300 豪华型,东莞 ?,2016年1月,25.98?万元,13.6?千瓦时/百公里3492?公里,5,5,4,5,5,5,5,5,上下班,购物,,,【最满意的一点】那时候买车我就冲着这个豪华版来的，最满意的就是它的外形了，这车的外形真的太让人感觉大气和时尚感了，而且很霸气，前脸，后尾，雾灯，整体线条感觉都很流畅顺畅，开出去就是一个回头率超高的。【最不满意的一点】我想它的后备箱有点小，这个很多人都知道的，其实也不影响整体的舒适性。【空间】空间属于大小正好的，平时我们日常用的话这个就已经很可以了，还有它的座椅和舒适性都很好的，作为五座车这个空间的利用率还有布局都是很合理的，很多车都没有这样的的设计感，后备箱的不足也可以忽略不计了。【动力】我喜欢这个纯电动的动力很够马力强大的，何况它的起步很速度不肉，在市区或者去高速也不会有欠缺感，平稳性也是很好的。【操控】作为高科技黑科技的唐，最显著的就是它的设计和配置上很多都是超过其他车型的，真...
秦                        2016款 秦EV300 旗舰型,六盘水 ?,2016年2月,27.59?万元,14.6?千瓦时/百公里3116?公里,4,5,5,5,5,5,5,5,上下班,购物,,,【最满意的一点】动力【最不满意的一点】空间【空间】空间我是觉得有一点小，可能是因为我本人身体比较高大壮实，我有一米八五，坐在前排感觉不是特别好。后面的话，因为电池组的存在，导致后备箱的储物空间偏小，日常用的东西可以放进去，但是如果再多的话放进去就有些困难【动力】纯电的非常好，没什么可说的，要动力有动力，反应很快。百公里加速5.9秒毕竟不是吹的，推背感很强烈，真的很爽。毫不夸张的说，一脚油门踩下去，只要放得开，还没有回过神儿来就到了100多了，很不错【操控】总体可以，方向盘比较灵活，轻重也比较顺手，而且我感觉车子的指向性也不错，很听话，但是方向助力在速度起来之后过于重了些，需要习惯一下【耗电量】耗电量可以的，我觉得很不错，一礼拜开下来感觉耗的电不是很多，一周的话我是充四次电，然后正...
秦                        2016款 秦EV300 尊荣型,阜阳 ?,2016年3月,27.98?万元,17.6?千瓦时/百公里3193?公里,4,5,5,5,5,5,5,5,上下班,购物,,,【最满意的一点】电动车新能源科技的优势，在秦这车身上体现的淋漓尽致了，空间大，动力足，座椅舒适而且还有操控性都很好的，还有就是用电就是省钱省心。【最不满意的一点】空间倒是不错，就是后备箱有点小了。【空间】因为我和媳妇都是高个子，所以买车的时候就冲着高大上的大空间买的，从很多车型中看好了秦，做的是很不错，空间不拘束，后排也可以，就是后备箱有点小了，哎，也不能太圆满了。【动力】纯电的动力很不错，汽油的就不用说了，单这个电动车的特有的动力就很霸气的，因为我一直就用的电动力，也就喜欢这样平和稳定的输出性的，完全没有压力的动力，一脚油门就冲出去了，很便捷速度。【操控】本来这个电动力就很吸引人的，而且电动系统本身就省事和科技的，很好的操控和舒适性，方向盘和档位也很灵敏的，底盘更厚重，因为是新型...
秦                        2016款 秦EV300 尊贵型,上饶 ?,2016年2月,25.68?万元,15.3?千瓦时/百公里3644?公里,5,5,5,5,5,4,5,5,上下班,购物,跑长途,,【最满意的一点】省钱啊，电动车，新能源，之前没接触过，实际开了之后确实能省钱。车子本身不算特别贵，我是说和这个价位论起来，挺值的，而且和同级车那么一比，这辆车跑起来的成本确实挺低的，蛮不错【最不满意的一点】外观好看，但是有点张扬【空间】后排三个人无压力，前排更不用说，空间上基本不用担心太多，我也不喜欢把东西放车里，所以储物空间就那么回事，我的利用率不高，平时家用合适【动力】够意思，挺强劲的，提速挺给力，整体提速的时候给人的感觉非常爽，虽然没有那种发动机嗡一下子起来的声音和感觉，但是推背感什么的还是挺能让人满意的，非常不错【操控】操控顺畅，挺灵活的，指向精准，刹车也没什么毛病。方向盘有点轻了，不知道是不是因为我之前的开过的车方向盘都偏重，适应一段时间之后就没问题了，还不错【耗电量】...
秦                        2016款 秦EV300 豪华型,柳州 ?,2016年2月,25.88?万元,15.8?千瓦时/百公里2984?公里,4,5,5,5,5,5,5,5,上下班,购物,自驾游,,【最满意的一点】动力很满意，实际开过这辆车的人应该都感觉的到这辆车子的动力确实充沛，平时开起来完全不费劲，踩脚油门就走，不卡顿，起步很少有发肉的时候，对于这一点来说我还是比较满意的，不让人着急，提速很爽。【最不满意的一点】放行李的地方空间有点小，常拉大物件的人注意了，不过只要不是经常出差的话，就前排而言，日常出行完全不是问题，不用担心【空间】空间不错，前面没什么大问题，坐在前排觉得还算宽敞，唯一让我觉得有些鸡肋的就是这后边的储物空间了了，放行李的地方实在太小【动力】个人感觉秦这辆车在动力方面非常有优势，百公里加速可以甩掉很多好车，推背感比较强，超车相当如鱼得水，随便深踩一脚电机就会瞬间接入，仪表上的功率计直接奔着160就去了，非常不错。【操控】操控感也是很强大，基本可以做到指哪走哪...
秦                        2016款 秦EV300 尊荣型,新余 ?,2016年2月,29.68?万元,14.6?千瓦时/百公里3337?公里,5,5,5,5,4,5,5,5,上下班,自驾游,,,【最满意的一点】操控很棒，本身纯电动的操控就比较简单方便，而且这款配有很多操控辅助和安全装置，开起来舒适度有保证，安全系数也高，最重要的是环保，很不错。【最不满意的一点】座椅没有腰部支撑，虽然有高低调节，但是有腰部支撑会更好。【空间】乘坐和驾驶空间还可以，成年人坐在里面头顶离车顶大概有1个拳头的距离，上下车也不容易碰到头；前后排的间隔合理，不会太宽敞但腿脚也能伸展；储物格的设计很棒，装小件物品方便，唯一的遗憾就是后备箱比较小，我一般都是把装不下的东西放在乘坐区。【动力】充满电时，动力特别充沛，驾驶体验非常棒，没有发动机的噪音，整个驾驶空间非常安静，高速上跑绝对是一种享受。【操控】因为有电机的介入，驾驶起来非常舒服。【电耗】差不多2毛钱一公里，这个程度我已经很满意了，现在还没出磨合...
秦                        2016款 秦EV300 旗舰型,三明 ?,2016年3月,26.86?万元,13.2?千瓦时/百公里1994?公里,5,5,5,5,5,5,5,4,上下班,自驾游,,,【最满意的一点】现在的电动车已经成了流行趋势了，早就想要过过瘾了，亏了看到这秦，比很多车都多了丰富的配置和科技感，而且是真的很大气，动力等方面也做的很好，它是真的舒适而省钱的一款。【最不满意的一点】还没有发现它的不足之处，要说也就是有点价位高了，没办法这车属于新能源的，也算是新生事物价位高情有可原了。【空间】空间真的是挺大的，空间的布局也算是很合理的，而且它的座椅舒适，前后排的设计基本属于现代车中最和谐的，后备箱有点小，这车一般都不做长途用的，后备箱这大小也算是圆满了。【动力】动力真的很不错，不管是给油还是用电，油电混合动力的优势很明显的，车子的性能和安全系数都很好，不是只为速度不要安全的，很适合我这样的菜鸟小白的。【操控】车的操控性是反应很敏捷轻巧的，方向盘和速度也是随叫随到，简...
秦                        2016款 秦EV300 尊贵型,吕梁 ?,2016年2月,25.99?万元,12.5?千瓦时/百公里3349?公里,5,5,5,5,5,5,4,5,上下班,自驾游,,,【最满意的一点】动力很棒，第一次开这种纯电动的车，动力真心给力，加速非常快，开起来也比烧油的车要轻松，比混动的也好很多，感觉秦确实如传闻中一样牛。【最不满意的一点】座椅是仿皮的，没有真皮有档次，一般这个价位非电动车配的是真皮的座椅。【空间】因为纯电动要配一个大电池，所以空间比耗油的车要小些，但是对于我们这样的四口之家来说还是很够用的，坐进去刚合适，不觉得拥挤。【动力】动力前面讲过了，纯电动的，最大218马力，跑起来很给力，不管是高速还是郊区动力都很足，目前没有出现过觉得动力弱的情况。【操控】操控性良好，主要纯电动的操作比较简单，配的是电动车单速变速箱，变速很平顺，一点都没有顿挫感，现在老婆也学着开了，开得还挺好。【电耗】目前是百公里12.5千瓦时，感觉还不错，主要动力足，跑起来带...
秦                        2016款 秦EV300 豪华型,天津 ?,2016年5月,25.98?万元,13.1?千瓦时/百公里1064?公里,4,5,5,5,5,5,5,5,上下班,购物,,,【最满意的一点】综合来说这辆车我都挺满意的。电动车流行了也有一段时间了，感觉电动车里论外观确实是比亚迪比较好看，而且这辆车动力也确实不错，日常代步完全够用，没试过开长途也没出去自驾游过，所有长途不知道，但是短途开着我很满意【最不满意的一点】还没发现【空间】挺大的【动力】够用，平时在城市里开对动力要求不大，但这车子的性能确实可以【操控】反应敏捷，动力基本上是随叫随到。简单磨合几天之后开起来挺好的，转向精准，没有什么故障【电耗】【舒适性】挺舒适，看着舒服，坐着也还行【外观】外观很亮眼，不是特别张扬，但是很好看，很时尚，适合年轻人。细节的设计感很强，在大街上回头率还是挺高的。前脸的很有意思，百看不厌。【内饰】内饰还行，功能该有的都有，做工什么的可以接受【性价比】在电动车里性价比...
秦                        2016款 秦EV300 尊荣型,上海 ?,上海润迪,2016年6月,18.50?万元                                补贴后,4,5,4,5,4,5,5,5,上下班,购物,,,【最满意的一点】动力，给了我一个大惊喜，一开始以为广告上说的7.9S破百都是骗人的，可是自己坐上去深踩油门之后，那强烈的推背感告诉我这是真的。【最不满意的一点】刚开没多长时间，新鲜劲还没过去，哪有不满意的地方【空间】前排空间挺好的，后排稍微有点紧张，反正我将前排调好坐姿之后再坐到后排就感觉腿上有些紧张了。【动力】虽然咱没试过百米加速是个什么感觉，但是一辆电动车能带给我一种推背感就说明这车的动力真的不错，加上这车是电动的，不像带T的车子一样，只有涡轮介入之后才有动力，这车的动力输出一直都很线性。【操控】指向很精准，就是到了六七十迈的时候侧倾很明显，跑到120迈的时候车身就开始发飘了。【耗电量】到现在充一次电能跑个三四天，再加上有动能回收，感觉耗电量不是特别高。【舒适性】隔音挺好的...
